Metro Area Geography,2014 Population,Number of People Below Poverty Level,Percentage of People Below Poverty Level,"Crime Rate Per Every 100,000 Inhabitants",Mortality Rates,Family Sizes,HS Droupout Rate,Region,Total Population Change,Natural Increase,Births,Deaths,Total,International [2],Domestic,,,,,,,
"Phoenix-Mesa-Scottsdale,AZMetroArea",4489109,790083,17.60%,379.8,682.03,66.30%,13.50%,West,"84,980","29,297","59,914","30,617","51,843","10,716","41,12",,,,,,,
"Riverside-SanBernardino-Ontario,CAMetroArea",4441890,808424,18.20%,354.9,657.2,74.40%,20.40%,West,"51,628","32,235","61,427","29,192","19,013","8,654","10,359",,,,,,,
"Detroit-Warren-Dearborn,MIMetroArea",4296611,726127,16.90%,573.8,917.63,64.90%,11.40%,Midweast,"1,217","10,305","49,732","39,427","-8,852","11,196","-20,04",,,,,,,
"Seattle-Tacoma-Bellevue,WAMetroArea",3671478,462606,12.60%,330.2,660.82,62.50%,11.90%,West,"57,857","22,053","46,315","24,262","36,325","18,925","17,400",,,,,,,
"Minneapolis-St.Paul-Bloomington,MN-WIMetroArea",3495176,360003,10.30%,0,625.26,64.50%,7.00%,Midwest,"33,742","24,080","45,934","21,854","10,762","11,544",-782,,,,,,,
"SanDiego-Carlsbad,CAMetroArea",3263431,496042,15.20%,351.5,647.42,65.70%,9.10%,West,"40,873","23,732","44,860","21,128","17,186","14,637","2,549",,,,,,,
"Tampa-St.Petersburg-Clearwater,FLMetroArea",2915582,449000,15.40%,435.2,1049.29,60.90%,11.70%,South,"41,428",667,"31,260","30,593","39,397","11,025","28,372",,,,,,,
"St.Louis,MO-ILMetroArea",2806207,362001,12.90%,495.4,907.2,62.90%,8.30%,Midwest,"4,620","8,165","33,623","25,458","-3,266","4,482","-7,748",,,,,,,
"Baltimore-Columbia-Towson,MDMetroArea",2785874,312018,11.20%,646.2,880.15,64.60%,10.50%,South,"11,824","9,292","33,812","24,520","3,191","9,639","-6,448",,,,,,,
"Denver-Aurora-Lakewood,CO Metro Area",2754258,333265,12.10%,337.5,614.36,62.40%,9.90%,West,"54,508","18,324","35,245","16,921","35,693","6,307","29,386",,,,,,,
"Charlotte-Concord-Gastonia,NC-SCMetroArea",2380314,352286,14.80%,170.4,732.93,67.20%,13.10%,South,"42,975","12,250","29,696","17,446","29,864","5,767","24,097",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Metro Area Geography,2014 Population,#People Below Poverty Level,% People Below Poverty Level,"Crime Rate Per Every 100,000 Inhabitants",Mortality Rates,Family Sizes,HS Droupout Rate,Region,Total Population Change [1],Natural Increase,Births,Deaths
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Metro Area Geography,,,,Metro Area Geography,,,,,,,,
,,,,,,,,,,2014 Population,,,,2014 Population,,,,,,,,
,,,,,,,,,,#People Below Poverty Level,,,,Number of People Below Poverty Level,,,,,,,,
,,,,,,,,,,% People Below Poverty Level,,,,Percentage of People Below Poverty Level,,,,,,,,
,,,,,,,,,,"Crime Rate Per Every 100,000 Inhabitants",,,,"Crime Rate Per Every 100,000 Inhabitants",,,,,,,,
,,,,,,,,,,Mortality Rates,,,,Mortality Rates,,,,,,,,
,,,,,,,,,,Family Sizes,,,,Family Sizes,,,,,,,,
,,,,,,,,,,HS Droupout Rate,,,,HS Droupout Rate,,,,,,,,
,,,,,,,,,,Region,,,,Region,,,,,,,,
,,,,,,,,,,Total Population Change [1],,,,Total Population Change [1],,,,,,,,
,,,,,,,,,,Natural Increase,,,,Natural Increase,,,,,,,,
,,,,,,,,,,Births,,,,Births,,,,,,,,
,,,,,,,,,,Deaths,,,,Deaths,,,,,,,,
